OCC_CLS,SQFEET,PROP_ADDR,PROP_CITY,E
Residential,494.4725,570 EAST 900 NORTH,BOUNTIFUL,
Residential,791.145,,,
Residential,2999.768,16679 WEST CHOKECHERRY CRK CREEK,,
Residential,494.4704,,,
Commercial,1648.23,40 WEST CENTER STREET,BOUNTIFUL,
Residential,890.0474,,,
Residential,593.3541,,,
Residential,1384.521,1144 EAST 500 NORTH,BOUNTIFUL,
Commercial,14454.93,520 NORTH 500 WEST,BOUNTIFUL,
Agriculture,3889.815,210 NORTH FAIRWIND CIRCLE,WEST BOUNTIFUL,
Residential,593.3567,828 NORTH 700 EAST,BOUNTIFUL,
Residential,1977.858,1188 EAST CENTER STREET,BOUNTIFUL,
Residential,3560.174,1418 EAST NORTHRIDGE DRIVE,BOUNTIFUL,
Residential,1054.865,600 NORTH 975 WEST,WEST BOUNTIFUL,
Residential,6757.708,1473 EAST 250 NORTH,BOUNTIFUL,
Residential,1714.155,1314 EAST VINEYARD DRIVE,BOUNTIFUL,
Residential,741.7031,779 EAST 250 NORTH,BOUNTIFUL,
Residential,3214.035,785 NORTH EAGLE RIDGE DRIVE,BOUNTIFUL,
Residential,3230.522,531 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,791.1497,301 EAST CENTER STREET,BOUNTIFUL,
Residential,2076.764,1148 EAST 500 NORTH,BOUNTIFUL,
Residential,2966.821,697 WEST 810 NORTH,WEST BOUNTIFUL,
Commercial,2801.99,25 NORTH PEREGRINE LANE,BOUNTIFUL,
Residential,2373.435,814 NORTH 800 EAST,BOUNTIFUL,
Residential,1714.144,513 NORTH DAVIS BOULEVARD,BOUNTIFUL,
Residential,1318.577,305 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,1186.738,424 WEST CENTER STREET,BOUNTIFUL,
Residential,3131.643,1033 EAST 250 NORTH,BOUNTIFUL,
Residential,3131.61,687 WEST 810 NORTH,WEST BOUNTIFUL,
Residential,1038.377,,,
Residential,5455.604,531 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,2719.576,16 SOUTH DAVIS BOULEVARD,BOUNTIFUL,
Residential,3131.637,1338 EAST 600 NORTH,BOUNTIFUL,
Residential,988.9427,647 EAST 250 NORTH,BOUNTIFUL,
Residential,4153.513,805 NORTH 900 WEST,WEST BOUNTIFUL,
Residential,1615.262,,,
Residential,593.3615,15384 WEST STATELINE ROAD,,
Residential,395.5777,,,
Residential,1335.053,,,
Residential,2175.664,1068 EAST CENTER STREET,BOUNTIFUL,
Residential,791.1573,,,
Residential,5274.324,,,
Residential,2637.163,,,
Residential,527.4312,,,
Residential,988.9329,,,
Residential,791.1431,,,
Residential,1087.822,,,
Commercial,593.3586,,,
Commercial,824.1111,,,
Agriculture,593.3574,,,
Agriculture,1450.436,,,
Agriculture,1318.567,,,
Agriculture,494.4778,,,
Residential,412.0536,26805 NORTH GOOSE CREEK ROAD,,
Residential,1977.871,26805 NORTH GOOSE CREEK ROAD,,
Residential,593.3611,26805 NORTH GOOSE CREEK ROAD,,
Residential,1582.309,26805 NORTH GOOSE CREEK ROAD,,
Agriculture,593.3559,,,
Agriculture,890.037,,,
Agriculture,988.9395,,,
Agriculture,988.9399,,,
Agriculture,1780.071,82730 WEST HWY 30,,
Agriculture,445.0201,,,
Residential,3626.088,1360 EAST 600 NORTH,BOUNTIFUL,
Residential,2653.628,731 EAST 250 NORTH,BOUNTIFUL,
